Marka Kodu	Tip Kodu	Marka Adı	Tip Adı	2019	2018	2017	2016	2015	2014	2013	2012
89	1028	MAZDA	3 HB SKY-G 1.5 120 REFLEX 6AT	1261157	1135483	1082224	990782	909139	817492	0	0
89	1022	MAZDA	3 SEDAN SKY-G 1.5 120 REFLEX 6AT	1261157	1131036	1075244	991348	907505	817579	0	0
89	1020	MAZDA	3 SEDAN SKY-G 1.5 120 MOTION 6AT	1201674	1097326	1041671	957734	874093	792116	0	0
89	1021	MAZDA	3 SEDAN SKY-G 1.5 120 REFLEX	1201674	1097741	1042309	959045	874617	784930	0	0
89	1026	MAZDA	3 HB SKY-G 1.5 120 MOTION 6AT	1201621	1064028	1009752	924085	840487	757697	0	0
89	1027	MAZDA	3 HB SKY-G 1.5 120 REFLEX	1201621	1097741	1041609	957199	873923	784875	0	0
111	1226	OPEL	ASTRA HB DYNAMIC 1.6 DIZEL 136 MT6 S&S	1158608	1038598	977458	910709	826871	0	0	0
122	1206	RENAULT (OYAK)	MEGANE SEDAN TOUCH 1.6 16V 115	1158307	0	0	0	0	0	0	0
89	1025	MAZDA	3 HB SKY-G 1.5 120 MOTION	1143988	1025527	970641	883980	802913	726666	0	0
89	1019	MAZDA	3 SEDAN SKY-G 1.5 120 MOTION	1143988	1063792	1009752	924202	840388	759500	0	0
111	1227	OPEL	ASTRA HB DYNAMIC 1.6 DIZEL 136 AT6	1139708	1069918	1037604	981205	951841	0	0	0
122	1200	RENAULT (OYAK)	MEGANE SEDAN JOY PLUS 1.5 DCI EDC 110	1135505	1090084	0	0	0	0	0	0
111	1225	OPEL	ASTRA HB DYNAMIC 1.4 150 MT6	1134697	1038571	990827	831704	819525	0	0	0
133	1168	SKODA	OCTAVIA 1.0 TSI 115 AMBITION	1132669	986932	920257	842680	0	0	0	0
111	1380	OPEL	ASTRA HB 1.6 DIZEL 136 AT6 S&S 120. YIL	1120694	0	0	0	0	0	0	0
